step,ppl,loss,lr,exp_sim,gate_ratio,grad_norm,aux_loss
200,379.9,2.16,3.00e-04,0.0000,2.1660,0.4063,0.537049
400,56.6,2.07,3.00e-04,0.0000,1.6941,0.3261,0.463784
600,29.5,2.05,3.00e-04,0.0000,1.6197,0.3259,0.408102
800,21.0,1.89,3.00e-04,0.0000,1.5875,0.2816,0.372934
1000,17.0,1.88,3.00e-04,0.0000,1.6020,0.2897,0.341735
1200,14.7,1.78,3.00e-04,0.0000,1.5865,0.2514,0.301152
1400,13.1,1.86,3.00e-04,0.0000,1.6199,0.2822,0.268446
1600,11.9,1.72,3.00e-04,0.0000,1.6141,0.2456,0.233274
1800,11.0,1.74,3.00e-04,0.0000,1.7862,0.2225,0.204599
2000,10.3,1.74,3.00e-04,0.0000,2.1752,0.2073,0.185158
2200,9.8,2.11,3.00e-04,0.0000,2.1053,0.5747,0.184226
2400,9.3,1.69,3.00e-04,0.0000,2.1927,0.2253,0.185743
2600,9.0,1.74,3.00e-04,0.0000,2.2113,0.3290,0.185490
2800,8.6,1.63,3.00e-04,0.0000,2.1796,0.2010,0.184653
3000,8.4,1.65,3.00e-04,0.0000,2.1553,0.2022,0.184360
